data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2023,171162856,36,1285,2023-05-11,
2023,171162856,63,1294,2023-05-11,
2023,171162857,36,1285,,
2023,171162857,63,1294,,
2023,171162860,36,195,,
2023,171162860,54,489,,
2023,171162860,61,368,,
2023,171162869,20,1,,
2023,171162873,8,1,,
2023,171162876,63,1557,2023-05-13,
2023,170951353,16,25,,
2023,171162888,20,1250,,
2023,171162882,20,1732,,
2023,170951358,3,558,,
2023,171162863,3,300,,
2023,182551324,63,1,,
2023,182551343,10,,,
2023,182551370,10,,,
2023,171162870,34,2000,,
2023,170951367,3,2251,,
2023,171162881,63,337,,
2023,182551392,10,,,
2023,171162895,63,800,,
2023,171162901,20,222,,
2023,171162880,6,99,,
2023,171162886,20,750,,
2023,170951374,36,212,,
2023,171162892,10,,,
2023,171162868,3,5000,,
2023,182551426,63,1,,
2023,182551427,11,1,,
2023,171162877,3,10,,
2023,171162885,42,150,,
2023,170951385,3,777,,
2023,171162896,63,400,,
2023,171162900,29,1,,
2023,171162905,10,,,
2023,171162872,10,,,
2023,171162879,63,15,,
2023,171162884,63,10,,
2023,182551385,3,70000,2023-06-05,
2023,182551386,3,70000,,
2023,171162894,27,100,,
2023,171162894,63,165,,
2023,171162903,63,1,,
2023,182551449,8,20,2023-06-08,
2023,182551449,10,50,2023-06-08,
2023,182551449,16,18,2023-06-08,
2023,182551450,8,20,,
2023,182551450,10,50,,
2023,182551450,16,18,,
2023,171162909,20,9000,,
2023,170951399,63,139,,
2023,171162889,61,1,,
2023,171162893,33,500,,
2023,171162897,36,900,,
2023,182551493,42,100,,
2023,171162911,10,,,
2023,182551516,63,197,2023-08-14,
2023,182551517,10,,,
2023,171162913,3,1,,
2023,171162913,63,200,,
2023,171162916,54,60,,
2023,171162918,52,0,,
2023,171162921,63,1,,
2023,182551424,3,3500,,
2023,182551424,10,,,
2023,171162898,63,1,,
2023,171162902,19,1,,
2023,170951360,63,50,,
2023,171162908,10,,,
2023,182551459,3,1,,
2023,182551486,63,500,,
2023,182551373,63,1,,
2023,182551404,51,0,,
2023,170951366,10,,,
2023,170951368,10,,,
2023,182551438,10,,,
2023,182551430,63,500,,
2023,182551497,22,0,,
2023,182551498,20,19373,,
2023,182551523,26,40,,
2023,182551523,36,3675,,
2023,182551523,63,200,,
2023,170951359,24,1,,
2023,182551379,10,,,
2023,182551359,42,1000,,
2023,182551402,63,1,,
2023,182551432,20,40,,
2023,182551472,3,1000,,
2023,182551487,20,1100,,
2023,182551511,10,,,
2023,182551559,63,1,,
2023,182551445,20,60000,,
