data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2022,20585,149448624,40415061,f,2022-02-24 13:31:52.81,2022-02-11,f,12,6,,WARNINGS,,F,128983132
2022,20585,149448632,40415061,f,2022-02-24 13:31:52.935,2022-02-14,f,15,6,,WARNINGS,,F,128983149
2022,20585,151397547,40415061,f,2022-03-22 13:01:54.443,2022-02-18,f,22,6,,WARNINGS,,F,135858689
2022,20585,151397561,40415061,f,2022-03-22 13:01:54.542,2022-02-20,f,9,6,,WARNINGS,,F,135858703
2022,20585,151397572,40415061,f,2022-03-22 13:01:54.688,2022-02-22,f,13,6,,WARNINGS,,F,135858724
2022,20585,151397578,40415061,f,2022-03-22 13:01:54.781,2022-02-22,f,17,6,,WARNINGS,,F,135858737
2022,20585,151397542,40415061,f,2022-03-22 13:01:54.374,2022-02-23,f,18,6,,WARNINGS,,F,135858681
2022,20585,151397546,40415061,f,2022-03-22 13:01:54.446,2022-02-28,f,13,6,,WARNINGS,,F,135858690
2022,20585,151397555,40415061,f,2022-03-22 13:01:54.527,2022-02-28,f,17,6,,WARNINGS,,F,135858701
2022,20585,151397564,44077649,f,2022-03-22 13:01:54.604,2022-03-01,f,17,6,,WARNINGS,,F,135858713
2022,20585,151397521,44077649,f,2022-03-22 13:01:54.13,2022-03-06,f,14,6,,WARNINGS,,F,135858629
2022,20585,154759444,44077649,f,2022-06-21 17:20:15.889,2022-03-07,f,8,6,,WARNINGS,,F,144260098
2022,20500,152269444,44077610,f,2022-04-20 12:13:56.46,2022-03-21,f,9,6,,WARNINGS,,F,138085990
2022,20500,152269445,44077610,f,2022-04-20 12:13:56.698,2022-03-24,f,22,6,,WARNINGS,,F,138085992
2022,20500,154759083,44077610,f,2022-06-21 17:19:57.81,2022-03-26,f,17,6,,WARNINGS,,F,144259489
2022,20500,152269447,44077610,f,2022-04-20 12:13:56.98,2022-03-30,f,13,6,,WARNINGS,,F,138085995
2022,20500,165125829,44077610,f,2023-01-26 15:24:57.822,2022-03-30,f,14,6,,WARNINGS,,F,171098933
2022,20500,154759087,44086204,f,2022-06-21 17:19:58.107,2022-04-05,f,13,6,,WARNINGS,,F,144259497
2022,20500,153608316,44086204,f,2022-05-24 12:07:28.867,2022-04-05,f,16,6,,WARNINGS,,F,141388113
2022,20500,152269449,44086204,f,2022-04-20 12:13:57.221,2022-04-07,f,8,6,,WARNINGS,,F,138085997
2022,20500,152269461,44086204,f,2022-04-20 12:13:59.853,2022-04-11,f,11,6,,WARNINGS,,F,138086018
2022,20585,152269773,44077649,f,2022-04-20 12:14:17.273,2022-03-09,f,21,6,,WARNINGS,,F,138086687
2022,20585,151397592,44077649,f,2022-03-22 13:01:54.902,2022-03-12,f,14,6,,WARNINGS,,F,135858754
2022,20585,152269790,44077649,f,2022-04-20 12:14:17.731,2022-03-14,f,15,6,,WARNINGS,,F,138086729
2022,20585,152269808,44077649,f,2022-04-20 12:14:18.054,2022-03-15,f,3,6,,WARNINGS,,F,138086769
2022,20500,154759091,44086204,f,2022-06-21 17:19:58.609,2022-04-11,f,19,6,,WARNINGS,,F,144259502
2022,20500,153608325,44086204,f,2022-05-24 12:07:29.387,2022-04-20,f,7,6,,WARNINGS,,F,141388124
2022,20500,156439608,44086204,f,2022-07-21 13:26:01.024,2022-04-23,f,23,6,,WARNINGS,,F,148893213
2022,20585,153608511,44077649,f,2022-05-24 12:07:50.105,2022-03-15,f,14,6,,WARNINGS,,F,141388942
2022,20585,152269824,44077649,f,2022-04-20 12:14:18.353,2022-03-16,f,8,6,,WARNINGS,,F,138086794
2022,20585,152269828,44077649,f,2022-04-20 12:14:18.514,2022-03-17,f,11,6,,WARNINGS,,F,138086804
2022,20500,165125831,44086204,f,2023-01-26 15:24:57.905,2022-04-27,f,9,6,,WARNINGS,,F,171098954
2022,20585,153608515,44077649,f,2022-05-24 12:07:50.265,2022-03-19,f,14,6,,WARNINGS,,F,141388963
2022,20585,152269775,44077649,f,2022-04-20 12:14:17.315,2022-03-19,f,15,6,,WARNINGS,,F,138086691
2022,20585,152269804,44077649,f,2022-04-20 12:14:17.799,2022-03-21,f,15,6,,WARNINGS,,F,138086734
2022,20585,152269823,44077649,f,2022-04-20 12:14:18.359,2022-03-22,f,10,6,,WARNINGS,,F,138086795
2022,20585,153608522,44077649,f,2022-05-24 12:07:50.585,2022-03-25,f,2,6,,WARNINGS,,F,141389001
2022,20500,153608419,44086204,f,2022-05-24 12:07:42.346,2022-04-23,f,18,6,,WARNINGS,,F,141388428
2022,20585,153608503,44077649,f,2022-05-24 12:07:49.593,2022-03-26,f,15,6,,WARNINGS,,F,141388895
2022,20585,153608507,44077649,f,2022-05-24 12:07:49.871,2022-03-26,f,18,6,,WARNINGS,,F,141388917
2022,20585,152269737,44077649,f,2022-04-20 12:14:16.495,2022-03-27,f,9,6,,WARNINGS,,F,138086617
2022,20585,153608509,44077649,f,2022-05-24 12:07:50.032,2022-03-27,f,11,6,,WARNINGS,,F,141388934
2022,20585,153608510,44077649,f,2022-05-24 12:07:50.114,2022-03-29,f,8,6,,WARNINGS,,F,141388945
2022,20585,153608518,44077649,f,2022-05-24 12:07:50.352,2022-03-31,f,9,6,,WARNINGS,,F,141388976
2022,20500,154759304,44153406,f,2022-06-21 17:20:12.094,2022-05-01,f,1,6,,WARNINGS,,F,144259870
2022,20500,153608421,44153406,f,2022-05-24 12:07:42.546,2022-05-02,f,12,6,,WARNINGS,,F,141388436
2022,20500,154759313,44153406,f,2022-06-21 17:20:12.499,2022-05-02,f,17,6,,WARNINGS,,F,144259890
2022,20500,153608430,44153406,f,2022-05-24 12:07:43.324,2022-05-10,f,13,6,,WARNINGS,,F,141388470
