data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,153329108,20,15,,
2022,153329106,30,50,,
2022,153329118,20,250,,
2022,153329119,20,1,,
2022,154797151,63,38000,,
2022,153329087,6,50,,
2022,153329087,20,5,,
2022,153329095,20,1,,
2022,154797157,9,0,,
2022,160738553,8,170,,
2022,153329105,63,1,,
2022,155986568,57,1000,,
2022,153329109,30,200,,
2022,155986573,19,66,2022-05-27,
2022,155986574,19,66,,
2022,155986553,8,34,,
2022,153329128,3,450,,
2022,153329145,8,42,,
2022,159499929,26,7829,,
2022,159499929,63,8467,,
2022,162306181,10,,,
2022,154796904,20,20000,,
2022,160738552,9,0,,
2022,160738552,20,53,,
2022,153329121,61,1300,,
2022,153329132,45,10,,
2022,157203075,45,26000,,
2022,153329137,8,10,,
2022,153329137,20,60,,
2022,154797160,38,100,,
2022,164112079,20,500,,
2022,153329144,3,4000,,
2022,162306224,19,31,,
2022,164112090,67,1,,
2022,164111594,8,2683,,
2022,153328861,3,1,,
2022,162305758,50,126,,
2022,157202634,9,0,,
2022,157202649,9,0,,
2022,154796919,63,108,,
2022,154796927,36,230,,
2022,155986294,20,400,,
2022,153329143,38,200,,
2022,154797171,3,100,,
2022,154797199,20,4500,,
2022,157203120,4,139,,
2022,154797202,3,200,,
2022,158274904,6,45,,
2022,158274904,16,50,,
2022,158274904,17,105,,
2022,158274904,20,2000,,
2022,158274904,23,1550,,
2022,155986594,16,10,,
2022,158274909,19,116,,
2022,153329158,8,3000,,
2022,155986599,36,400,,
2022,155986599,63,96,,
2022,154797226,16,1,,
2022,155986608,7,100,,
2022,155986621,16,100,,
2022,155986631,36,129,,
2022,159499858,2,21,2022-06-15,
2022,159499859,2,21,,
2022,157202844,10,,,
2022,155986650,20,20,,
2022,155986586,61,150,,
2022,157202847,9,0,,
2022,157202847,20,2080,,
2022,155986609,16,26,,
2022,157202862,8,87,,
2022,155986317,10,5,,
2022,155986327,3,250,,
2022,155986332,62,480,,
2022,155986334,17,18000,,
2022,158274663,7,120,2022-07-31,
2022,158274664,7,120,,
2022,155986310,20,600,,
2022,162305783,20,3700,,
2022,162305783,61,1,,
2022,162305783,63,1,,
2022,157203770,20,40,,
2022,157203770,63,40,,
2022,157203796,20,4,,
2022,162305729,8,4113,,
2022,159499532,2,146,,
2022,159499543,17,1809,,
2022,162305751,63,3527,,
2022,154797293,20,695,2022-06-21,
2022,154797293,21,71,2022-06-21,
2022,154797293,25,5,2022-06-21,
2022,154797294,20,695,,
2022,154797294,21,71,,
2022,154797294,25,5,,
2022,154797306,61,500,,
2022,159499910,20,13,,
2022,159499924,19,10,,
2022,159499945,10,,,
2022,160738594,7,100,,
2022,154797321,4,100,,
2022,160738544,3,25,,
2022,155986589,20,2,,
2022,155986592,25,25,,
2022,164111602,2,70,,
2022,162305761,22,0,,
2022,162305770,8,3600,,
2022,159499550,10,20000,,
2022,159499569,10,,,
